"BirdID","region","PCA_score","Q_residual"
"DU81-001","SSS",2.37803303761748,101.248379953756
"DU58-002","SSS",4.18435855635361,17.6498164345357
"DU58-001","SSS",2.24592980949116,2.86844337231996
"DU58-002","SSS",4.17789759108632,7.57721189121353
"BY32-001","SSS",2.2721536309645,3.0851207268125
"BY30-001","SSS",3.55407426853928,4.7390723907439
"BY47-001","SSS",2.20834749254012,1.99877906355691
"CR03-001","LWR",2.3381308226533,1.22232057729602
"BY47-001-002","SSS",5.75963597535651,10.7346301437859
"CR09-001","LWR",1.8202598017281,14.5513643529508
"CR09-002","LWR",2.19625795265444,4.32871033162066
"CRNew-001","LWR",2.66623764397869,4.00903663872684
"BY97-001","SSS",2.47878884565482,1.34629314875039
"BY97-002","SSS",2.56602006244619,1.71052576663203
"BY48-001","SSS",1.61038017511507,1.37137326096335
"BY100-001","SSS",2.14338131746383,2.28494521539508
"BY100-002","SSS",2.49361188860531,2.71810648723711
"BY100-003","SSS",2.00282301615787,2.40342337706448
"BY100-002","SSS",1.74921887026431,1.66510576484353
"AS28-001","AIS",1.87295042589121,1.51268042957559
"AS28-002","AIS",2.0585585335368,1.48372095113481
"AS28-003","AIS",1.77734528194207,1.22055804458348
"BY94-001","SSS",1.63694647463206,1.1856268066657
"BY94-002","SSS",1.29100970005474,1.63224901393975
"AS71-001","AIS",7.74107758799054,12.8777545648919
"AS71-002","AIS",9.53722982808167,70.7978961512013
"AS71-001","AIS",4.48339692459942,4.64325872883831
"AS108-002","AIS",1.57728158715191,2.5020348960508
"GRNew-001","LWR",2.14176970369372,2.08448629459608
"GRNew-002","LWR",1.95856991604319,3.81350128859174
"AS99-001","AIS",1.9822586370721,2.3268297609785
"AS99-002","AIS",2.12186980831159,3.71658898574625
"AS106-001","AIS",3.15170921780572,3.55349256616293
"AS106-002","AIS",3.73978452649539,3.40752608224338
"AS90-001","AIS",10.5052794885632,106.56490989968
"AS90-002","AIS",5.99458293745212,14.0515012946841
"GR10-001","LWR",2.077876698127,7.87385945838804
"GR10-002","LWR",1.86349405275795,2.90369926530315
"RI20-001","LWR",2.54058930475854,2.98096380060983
"AS20-001","AIS",3.40262447867184,3.32529836987676
"AS20-002","AIS",3.31438992514999,2.97321753433047
"IO20-001","LWR",1.70838509422441,21.8273216449258
"IO20-002","LWR",1.99092382629191,22.6901617688359
"IO20-003","LWR",1.36989418606832,2.71819473708336
"IO26-001","LWR",1.76549068531568,5.03623844101554
"IO26-002","LWR",1.75638595283603,10.7393507620398
"IO21-001","LWR",1.58555474146008,3.03956201143627
"IO21-003","LWR",1.80620388407157,9.88008777358238
"JU22-001","MWR",5.3825471893532,9.90808996207561
"JU22-002","MWR",4.48508046646526,8.0426068980489
"JU14-001","MWR",5.13541270662159,10.5297290100877
"SK02-001","LWR",1.90304095862917,7.61133992870549
"SK02-002","LWR",2.05493836800777,3.60316857271739
"AD13-001","MWR",3.92741277900317,2.68513003344989
"AD13-002","MWR",6.35938838517878,8.98780334180362
"AD13-003","MWR",6.1311757337119,6.21877767145166
"WO07-001","MWR",3.67980972139482,7.08978266776643
"WO07-002","MWR",3.21744779570747,5.46861644042447
"MR25-001","MWR",1.55754580475858,28.9409196285739
"MR25-002","MWR",2.15020709728386,7.12211712156576
"LI30-002","MWR",4.22481885924945,9.91535745347513
"LI24-001","MWR",8.61273841876796,101.666110549095
"LI31-001","MWR",11.1545735095006,19.6790877936986
"LI31-002","MWR",9.32421049203861,19.1266397333546
"LI47-001","MWR",6.02283096714133,6.1960086851871
"LI47-002","MWR",3.99787157648395,3.03991081849381
"DA07-001","LWR",3.05827964866309,2.87580497571696
"DA07-002","LWR",3.23106811365657,3.165821547742
"DA07-003","LWR",2.97629113127256,2.55954299308411
"PT04-001","MWR",1.88624068630583,3.50881348117183
"PT04-002","MWR",1.89387233149228,2.64911615553536
"CO03-001","MWR",1.8557103473934,2.70814821308881
"CO03-002","MWR",1.82482541190207,2.7682482491872
"ON07-001","UPWR",3.3984035031797,4.59966490046818
"ON138-001","UPWR",3.42045548125807,2.64175344436708
"ON138-002","UPWR",3.25092600793302,4.31470449767326
"ON31-001","MWR",2.83792921203385,115.793316992503
"ON31-002","MWR",1.94399917141966,78.7105550702863
"WI09-001","FRGB",2.2044531507374,1.44784685894659
"WI09-002","FRGB",1.94026050323121,1.55975589491048
"OU06-001","FRGB",2.69642145678238,1.37925530606876
"OU13-001","FRGB",1.78633822702718,2.8359500337837
"BR17-001","FRGB",1.05955025637091,3.64024494090839
"BR17-002","FRGB",0.225378281829912,16.5024205844032
"BR09-001","FRGB",0.392144113097687,7.90069200489304
"BR09-002","FRGB",0.985566071714528,4.51442248785221
"BR12-001","FRGB",1.70627795851363,5.38946048968735
"BR12-001","FRGB",1.26293069926243,4.70149237223869
"BR11-001","FRGB",0.439523974152909,5.49386841918097
"BR11-002","FRGB",0.891671935714239,7.77908938290496
"BR15-001","FRGB",1.07971775928197,5.90404078728244
"BR15-003","FRGB",1.71296024016685,3.86996048119828
"BR19-001","FRGB",0.854368423008255,9.86262999103169
"SB7-002","GBLM",1.89855833211684,2.49545924790973
"MC14-001","GBLM",1.43430545098504,3.096989125448
"MC14-002","GBLM",1.48982343164548,2.77203956088073
"MC17-001-002","GBLM",2.12576942641285,0.916697066752416
"DO29-001","GBLM",1.11445152406058,3.54880120099031
"DO29-002","GBLM",0.899618842912506,3.1719563860173
"MC03-002","GBLM",1.39241069152748,1.93731168354114
"MC06-001","GBLM",0.772018855371986,3.5645400109291
"MC06-002","GBLM",0.998316220058875,3.84864022974053
"KE02-001","GBLM",2.25522569575467,1.92665756010687
"KE08-001","GBLM",1.50824035629225,3.38449649868337
"KE08-002","GBLM",1.78277973977635,3.55613598539171
"DO05-001","GBLM",1.69364240333903,6.50301207596937
"DO05-002","GBLM",1.29337747741029,3.51994108259217
"DO18-001","GBLM",0.865766492535554,2.74625859637534
"DO18-002","GBLM",1.79132613950027,1.06143256700017
"DO16-001","GBLM",1.24259324525877,4.38661639199073
"DO16-002","GBLM",0.971446218681892,5.15257098633907
"DO16-003","GBLM",1.36919896809261,3.64375239285152
"WI10-001","FRGB",2.67980393912579,1.45276301562446
"WI10-002","FRGB",2.42729463324479,1.02614956725868
