"nest_no","FTSA10_2","PF3OUDS11CL","FTSA4_2","DIPAP6_2","FTSA6_2","DIPAP8_2","FTSA8_2","CL_9PF3ONS","DONA","FOSA","N_ETFOSA","N_ETFOSAA","N_ETFOSE","N_MEFOSA","N_MEFOSAA","N_MEFOSE","PFBA","PFBS","PFDA","PFDOA","PFDS","PFHPA","PFHPS","PFHXA","PFHXDA","PFHXS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFODA","PFOS","PFPEA","PFPES","PFTEDA","PFTRDA","PFUNDA","PFEESA","PFDoS","ADONA","HFPO.DA","NFDHA","X3.3FTCA","X5.3FTCA","X6.2FTS","X7.3FTCA","TOTAL_PFAS"
"AD-13a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","8.106 (6.406–9.535)","0 (0–0)","0 (0–0)","6.084 (4.562–6.913)","0 (0–0)","6.006 (5.624–6.611)","0 (0–0)","0 (0–0)","0.678 (0.49–0.818)","0 (0–0)","0.167 (0.165–0.169)","0 (0–0)","12.608 (10.087–14.037)","8.242 (6.91–9.025)","1.518 (1.194–1.865)","0 (0–0)","3.247 (2.434–3.694)","0.022 (0.02–0.026)","NaN (Inf–-Inf)","0.677 (0.536–0.752)","0 (0–0)","0 (0–0)","4.949 (4.02–5.679)","0.498 (0.372–0.564)","0.528 (0.416–0.71)","NaN (Inf–-Inf)","445.07 (355.83–502.62)","0 (0–0)","0 (0–0)","3.348 (2.687–3.745)","5.997 (5.108–6.674)","9.739 (7.998–10.715)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","6.827 (5.789–8.882)","0 (0–0)","3.262 (2.931–3.514)","527.573 (423.99–594.044)"
"AS-106","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.09 (0.076–0.105)","0 (0–0)","38.45 (37.3–39.6)","8.515 (7.93–9.1)","0.614 (0.55–0.678)","0.072 (0.07–0.074)","1.17 (0.939–1.4)","0 (0–0)","0 (0–0)","1.113 (0.977–1.25)","0 (0–0)","0 (0–0)","103.95 (97.9–110)","0.102 (0.094–0.109)","2.82 (2.75–2.89)","0 (0–0)","131.5 (123–140)","0 (0–0)","0 (0–0)","2.3 (2.13–2.47)","13.7 (12.5–14.9)","50.95 (49.1–52.8)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","355.346 (335.316–375.376)"
"AS-108","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","15.5 (15.5–15.5)","5.2 (5.2–5.2)","0.537 (0.537–0.537)","0 (0–0)","0.697 (0.697–0.697)","0 (0–0)","0 (0–0)","0.52 (0.52–0.52)","0 (0–0)","0 (0–0)","40.7 (40.7–40.7)","0.083 (0.083–0.083)","0.787 (0.787–0.787)","0 (0–0)","79.2 (79.2–79.2)","0 (0–0)","0 (0–0)","1.53 (1.53–1.53)","9.97 (9.97–9.97)","22.7 (22.7–22.7)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","177.424 (177.424–177.424)"
"AS-20f","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.206 (0.18–0.231)","0 (0–0)","33.8 (33.3–34.3)","8.89 (8.79–8.99)","1.265 (1.24–1.29)","0.062 (0.06–0.063)","2.01 (1.88–2.14)","0 (0–0)","0 (0–0)","1.595 (1.45–1.74)","0 (0–0)","0 (0–0)","88.85 (87.7–90)","0.144 (0.142–0.147)","2.12 (1.68–2.56)","0 (0–0)","182 (176–188)","0 (0–0)","0 (0–0)","2.535 (2.43–2.64)","14.45 (13.5–15.4)","49.3 (49.2–49.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","387.226 (382.126–392.327)"
"AS-28c","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.114 (0.089–0.128)","0 (0–0)","0 (0–0)","0.021 (0–0.064)","0 (0–0)","0 (0–0)","0 (0–0)","0.033 (0–0.058)","0 (0–0)","13.4 (12.3–14.8)","3.92 (3.2–4.42)","0.568 (0.465–0.665)","0 (0–0)","0.663 (0.526–0.743)","0 (0–0)","0 (0–0)","0.673 (0.5–0.785)","0 (0–0)","0 (0–0)","39.6 (33–43.6)","0.042 (0.031–0.05)","0.842 (0.689–1.05)","0 (0–0)","78.433 (68.9–86.9)","0 (0–0)","0 (0–0)","0.92 (0.838–1.02)","8.247 (6.67–10)","19.333 (16.3–21.6)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","166.81 (143.947–178.498)"
"AS-71a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.06 (0–0.092)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.192 (0.098–0.247)","0.031 (0–0.093)","55.2 (43.8–61)","16.533 (12.4–19.1)","1.149 (0.938–1.27)","0.214 (0.078–0.334)","1.323 (1.29–1.35)","0 (0–0)","0 (0–0)","1.37 (1.21–1.46)","0 (0–0)","0 (0–0)","133.333 (106–149)","0.127 (0.12–0.136)","3.83 (2.57–5.8)","0 (0–0)","164.667 (148–175)","0 (0–0)","0 (0–0)","3.083 (2.66–3.49)","29.067 (20.2–34.1)","83.933 (60.8–97.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","494.113 (400.73–544.701)"
"AS-90a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.123 (0.122–0.124)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.178 (0.124–0.232)","0 (0–0)","39.95 (36.1–43.8)","9.08 (9.01–9.15)","1.115 (0.911–1.32)","1.202 (0.844–1.56)","1.74 (1.4–2.08)","0 (0–0)","0 (0–0)","2.405 (2.23–2.58)","0 (0–0)","0 (0–0)","125 (119–131)","0.112 (0.108–0.115)","19.75 (10.2–29.3)","0 (0–0)","149 (149–149)","0 (0–0)","0.014 (0–0.027)","2.05 (1.95–2.15)","22.05 (21.6–22.5)","57 (52.8–61.2)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","430.769 (405.399–456.138)"
"AS-99c","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.078 (0.075–0.081)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.068 (0–0.137)","0 (0–0)","19.2 (18.9–19.5)","5.53 (5.28–5.78)","0.438 (0.412–0.463)","0.024 (0–0.048)","0.982 (0.964–1)","0 (0–0)","0 (0–0)","0.852 (0.806–0.898)","0 (0–0)","0 (0–0)","72.75 (59.7–85.8)","0.036 (0–0.072)","1 (0.639–1.36)","0 (0–0)","85.15 (83.5–86.8)","0 (0–0)","0 (0–0)","1.255 (1.21–1.3)","13.4 (12.7–14.1)","26.3 (26.1–26.5)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","227.062 (211.415–242.71)"
"BR-09","0.216 (0.186–0.247)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.734 (0.552–0.916)","0 (0–0)","0 (0–0)","0.408 (0.406–0.41)","0 (0–0)","0.511 (0.195–0.828)","0 (0–0)","0 (0–0)","0.321 (0.157–0.485)","0 (0–0)","0.106 (0–0.213)","0 (0–0)","13.3 (10.1–16.5)","7.67 (4.64–10.7)","1.175 (0.869–1.48)","0 (0–0)","0.951 (0.822–1.08)","0 (0–0)","0 (0–0)","1.705 (1.51–1.9)","0 (0–0)","0 (0–0)","4.76 (4.12–5.4)","0.172 (0.145–0.199)","0.131 (0.119–0.143)","0 (0–0)","170 (145–195)","0 (0–0)","0 (0–0)","1.58 (1.36–1.8)","4.535 (2.31–6.76)","12.105 (8.61–15.6)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","220.381 (182.051–258.711)"
"BR-11a","0.234 (0.228–0.24)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.575 (0–1.15)","0 (0–0)","0 (0–0)","0.906 (0.861–0.952)","0 (0–0)","1.053 (0.886–1.22)","0 (0–0)","0 (0–0)","0.42 (0.347–0.492)","0 (0–0)","0.241 (0.234–0.248)","0 (0–0)","12.65 (11.7–13.6)","7.7 (7.32–8.08)","1.52 (1.43–1.61)","0 (0–0)","1.157 (0.914–1.4)","0 (0–0)","0 (0–0)","1.11 (0.85–1.37)","0 (0–0)","0 (0–0)","4.5 (4.21–4.79)","0.246 (0.189–0.304)","0.537 (0.388–0.686)","0 (0–0)","173 (163–183)","0 (0–0)","0 (0–0)","1.785 (1.64–1.93)","5.075 (4.84–5.31)","13.1 (11.7–14.5)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","225.81 (210.751–240.868)"
"BR-12","0.231 (0.197–0.265)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","1.27 (1.01–1.53)","0 (0–0)","0 (0–0)","0.366 (0.315–0.417)","0 (0–0)","1.2 (0.831–1.57)","0.045 (0–0.09)","0 (0–0)","0.48 (0.462–0.497)","0 (0–0)","0 (0–0)","0 (0–0)","7.905 (7.64–8.17)","3.865 (3.24–4.49)","1.265 (1.25–1.28)","0 (0–0)","1.085 (1.08–1.09)","0 (0–0)","0 (0–0)","0.83 (0.62–1.04)","0 (0–0)","0 (0–0)","3.185 (3.16–3.21)","0.127 (0.099–0.155)","0.286 (0.248–0.324)","0 (0–0)","131 (108–154)","0 (0–0)","0 (0–0)","1.365 (1.07–1.66)","2.55 (2.32–2.78)","6.82 (6.75–6.89)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","163.875 (139.716–188.034)"
"BR-15","0.097 (0–0.194)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.896 (0.858–0.934)","0 (0–0)","0 (0–0)","0.646 (0.599–0.693)","0 (0–0)","1.091 (0.822–1.36)","0.029 (0–0.058)","0 (0–0)","0.399 (0.33–0.468)","0 (0–0)","0.063 (0–0.126)","0 (0–0)","10.765 (8.63–12.9)","5.785 (4.74–6.83)","0.99 (0.51–1.47)","0 (0–0)","0.584 (0.494–0.674)","0 (0–0)","0 (0–0)","0.217 (0.181–0.253)","0 (0–0)","0 (0–0)","1.705 (1.4–2.01)","0.147 (0.083–0.211)","0.138 (0.129–0.146)","0 (0–0)","123.25 (92.5–154)","0 (0–0)","0 (0–0)","1.195 (1.02–1.37)","2.675 (1.88–3.47)","10.905 (7.51–14.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","161.577 (122.023–201.13)"
"BR-17","0.274 (0.262–0.287)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.789 (0.598–0.981)","0 (0–0)","0 (0–0)","0.378 (0.289–0.466)","0 (0–0)","0.323 (0–0.646)","0 (0–0)","0 (0–0)","0.342 (0.164–0.521)","0 (0–0)","0.112 (0–0.224)","0 (0–0)","13.195 (9.49–16.9)","6.19 (5.05–7.33)","1.07 (0.89–1.25)","0 (0–0)","1.143 (0.906–1.38)","0 (0–0)","0 (0–0)","2.4 (1.36–3.44)","0 (0–0)","0 (0–0)","4.91 (2.92–6.9)","0.175 (0.154–0.196)","0.185 (0.108–0.262)","0 (0–0)","178.5 (151–206)","0 (0–0)","0 (0–0)","1.595 (1.3–1.89)","3.11 (2.34–3.88)","12.265 (8.13–16.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","226.957 (185.185–268.729)"
"BR-19","0.187 (0.187–0.187)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","1.3 (1.3–1.3)","0 (0–0)","0 (0–0)","0.757 (0.757–0.757)","0 (0–0)","1.56 (1.56–1.56)","0 (0–0)","0 (0–0)","0.675 (0.675–0.675)","0 (0–0)","0 (0–0)","0 (0–0)","13.8 (13.8–13.8)","8.28 (8.28–8.28)","0.974 (0.974–0.974)","0 (0–0)","0.912 (0.912–0.912)","0 (0–0)","0 (0–0)","0.7 (0.7–0.7)","0 (0–0)","0 (0–0)","3.45 (3.45–3.45)","0.112 (0.112–0.112)","0.153 (0.153–0.153)","0 (0–0)","149 (149–149)","0 (0–0)","0 (0–0)","1.81 (1.81–1.81)","4.44 (4.44–4.44)","12.4 (12.4–12.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","200.51 (200.51–200.51)"
"BY-032d","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","30 (30–30)","6.45 (6.45–6.45)","0.696 (0.696–0.696)","0 (0–0)","1.08 (1.08–1.08)","0 (0–0)","0 (0–0)","1.16 (1.16–1.16)","0 (0–0)","0 (0–0)","75.4 (75.4–75.4)","0.114 (0.114–0.114)","1.92 (1.92–1.92)","0 (0–0)","125 (125–125)","0 (0–0)","0 (0–0)","1.65 (1.65–1.65)","10.6 (10.6–10.6)","42.4 (42.4–42.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","296.47 (296.47–296.47)"
"BY-100a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.082 (0.073–0.093)","0 (0–0)","29.8 (26.5–33.3)","6.02 (5.85–6.23)","0.63 (0.503–0.708)","0 (0–0)","1.006 (0.958–1.08)","0 (0–0)","0 (0–0)","0.907 (0.806–1.04)","0 (0–0)","0 (0–0)","72.933 (60.7–82.8)","0.105 (0.098–0.113)","1.515 (0.926–1.97)","0 (0–0)","121 (107–128)","0 (0–0)","0 (0–0)","1.883 (1.77–1.98)","11.867 (11.2–12.9)","38.733 (36.2–43.1)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","286.482 (254.664–311.57)"
"BY-30","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.071 (0.071–0.071)","0 (0–0)","0 (0–0)","0.056 (0.056–0.056)","0 (0–0)","0 (0–0)","0 (0–0)","0.115 (0.115–0.115)","0 (0–0)","35.6 (35.6–35.6)","9.75 (9.75–9.75)","1.24 (1.24–1.24)","0.051 (0.051–0.051)","1.17 (1.17–1.17)","0 (0–0)","0 (0–0)","1.2 (1.2–1.2)","0 (0–0)","0 (0–0)","80.3 (80.3–80.3)","0.174 (0.174–0.174)","1.18 (1.18–1.18)","0 (0–0)","138 (138–138)","0 (0–0)","0 (0–0)","2.15 (2.15–2.15)","23.1 (23.1–23.1)","52.3 (52.3–52.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","346.457 (346.457–346.457)"
"BY-47a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.131 (0.131–0.131)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.098 (0.098–0.098)","0 (0–0)","54.7 (54.7–54.7)","15.6 (15.6–15.6)","0.922 (0.922–0.922)","0 (0–0)","1.57 (1.57–1.57)","0 (0–0)","0 (0–0)","1.58 (1.58–1.58)","0 (0–0)","0 (0–0)","145 (145–145)","0.133 (0.133–0.133)","1.98 (1.98–1.98)","0 (0–0)","179 (179–179)","0 (0–0)","0 (0–0)","2.51 (2.51–2.51)","22.6 (22.6–22.6)","76.1 (76.1–76.1)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","501.924 (501.924–501.924)"
"BY-47b","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.148 (0.148–0.148)","0 (0–0)","27.4 (27.4–27.4)","5.81 (5.81–5.81)","0.629 (0.629–0.629)","0.035 (0.035–0.035)","1.02 (1.02–1.02)","0 (0–0)","0 (0–0)","0.888 (0.888–0.888)","0 (0–0)","0 (0–0)","74 (74–74)","0.09 (0.09–0.09)","1.72 (1.72–1.72)","0 (0–0)","120 (120–120)","0 (0–0)","0 (0–0)","1.82 (1.82–1.82)","11.1 (11.1–11.1)","38 (38–38)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","282.66 (282.66–282.66)"
"BY-48a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.066 (0.066–0.066)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.115 (0.115–0.115)","0 (0–0)","13.9 (13.9–13.9)","4.33 (4.33–4.33)","0.7 (0.7–0.7)","0 (0–0)","0.943 (0.943–0.943)","0 (0–0)","0 (0–0)","0.668 (0.668–0.668)","0 (0–0)","0 (0–0)","29.8 (29.8–29.8)","0.072 (0.072–0.072)","0.275 (0.275–0.275)","0 (0–0)","74.5 (74.5–74.5)","0 (0–0)","0 (0–0)","1.12 (1.12–1.12)","10.4 (10.4–10.4)","18.6 (18.6–18.6)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","155.489 (155.489–155.489)"
"BY-94","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.12 (0.068–0.173)","0 (0–0)","18.1 (17–19.2)","3.98 (3.96–4)","0.685 (0.575–0.796)","0 (0–0)","0.989 (0.938–1.04)","0 (0–0)","0 (0–0)","0.771 (0.712–0.831)","0 (0–0)","0 (0–0)","45.85 (42–49.7)","0.097 (0.088–0.106)","0.261 (0.197–0.325)","0 (0–0)","134 (107–161)","0 (0–0)","0 (0–0)","1.255 (1.09–1.42)","7.385 (7.1–7.67)","25.45 (23.7–27.2)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","238.945 (212.256–265.633)"
