bird_id,DNA_sex,field_id,date,year,county,nest_no,fws,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Calculated,Calculated ,age,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO-DA,NFDHA,3:3FTCA,5:3FTCA,6:2FTS,7:3FTCA,TOTAL_PFAS
AS106-001,F,BAEA-AS106-2023-L-001,6/13/23,2023,ASHLAND,AS-106,0709-05617,3.76,46.8,38.5,33.3,160,145,0,-1.5504,42.3,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,37.3,7.93,0.55,0.07,0.939,0,0,0.977,0,0,97.9,0.094,2.75,0,123,0,0,2.13,12.5,49.1,,,,,,,,,,335.316
AS106-002,,BAEA-AS106-2023-L-002,6/13/23,2023,ASHLAND,AS-106,0709-05618,3.46,42.7,34.3,31.2,187,140,0,-3.8016,46.1,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,39.6,9.1,0.678,0.074,1.4,0,0,1.25,0,0,110,0.109,2.89,0,140,0,0,2.47,14.9,52.8,,,,,,,,,,375.376
AS108-002,,BAEA-AS108-2023-L-002,6/12/23,2023,ASHLAND,AS-108,0709-05614,3.37,53.1,34.3,33.3,200,125,0.25,-2.9784,47.9,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,5.2,0.537,0,0.697,0,0,0.52,0,0,40.7,0.083,0.787,0,79.2,0,0,1.53,9.97,22.7,,,,,,,,,,177.424
AS20-001,M,BAEA-AS20-2023-L-001,6/13/23,2023,ASHLAND,AS-20f,0709-05615,2.99,39.6,32.2,29.2,97,134,0,-5.2996,33.5,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0,34.3,8.79,1.29,0.063,1.88,0,0,1.74,0,0,90,0.142,2.56,0,176,0,0,2.43,13.5,49.2,,,,,,,,,,382.126
AS20-002,F,BAEA-AS20-2023-L-002,6/13/23,2023,ASHLAND,AS-20f,0709-05616,3.94,47,33.5,32.4,109,145,0.5,-3.6032,35.2,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,33.3,8.99,1.24,0.06,2.14,0,0,1.45,0,0,87.7,0.147,1.68,0,188,0,0,2.64,15.4,49.4,,,,,,,,,,392.327
AS28-001,M,BAEA-AS28-2024-E-001,6/14/24,2024,ASHLAND,AS-28c,0829-04159,3.63,46.7,35.7,30.7,279,125,0,-3.5216,59,59,0,0,0,0,0,0,0,0,0,0.089,0,0,0.064,0,0,0,0,0,13.1,4.14,0.573,0,0.743,0,0,0.785,0,0,42.2,0.044,0.788,0,86.9,0,0,0.902,8.07,20.1,,,,,,,,,,178.498
AS28-002,M,BAEA-AS28-2024-E-002,6/14/24,2024,ASHLAND,AS-28c,0829-04160,3.64,44.6,34.6,30.7,237,131,0,-3.8956,53.1,53.1,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0.041,0,12.3,3.2,0.465,0,0.526,0,0,0.5,0,0,33,0.031,1.05,0,68.9,0,0,0.838,6.67,16.3,,,,,,,,,,143.947
AS28-003,F,BAEA-AS28-2024-E-003,6/14/24,2024,ASHLAND,AS-28c,0829-04167,4.52,34.9,37.7,30.2,281,141,0,-3.0376,59.2,59.2,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0.058,0,14.8,4.42,0.665,0,0.721,0,0,0.733,0,0,43.6,0.05,0.689,0,79.5,0,0,1.02,10,21.6,,,,,,,,,,177.984
AS71-001,F,BAEA-AS71-2024-E-001,6/14/24,2024,ASHLAND,AS-71a,0829-04168,4.55,47.1,37.4,31.8,228,143,0,,51.8,51.8,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0.232,0,60.8,19.1,1.27,0.229,1.35,0,0,1.44,0,0,145,0.124,2.57,0,175,0,0,3.1,32.9,93.7,,,,,,,,,,536.907
AS71-002,M,BAEA-AS71-2024-E-002,6/14/24,2024,ASHLAND,AS-71a,0829-04169,3.35,41.6,32,28.8,200,127,0,,47.9,47.9,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0.247,0.093,61,18.1,1.24,0.334,1.33,0,0,1.46,0,0,149,0.12,5.8,0,171,0,0,3.49,34.1,97.3,,,,,,,,,,544.701
AS71-001,F,BAEA-AS71-2023-L-001,6/12/23,2023,ASHLAND,AS-71a,0709-05677,4.35,58.3,35,31.2,227,132,0.25,-3.5636,51.7,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,43.8,12.4,0.938,0.078,1.29,0,0,1.21,0,0,106,0.136,3.12,0,148,0,0,2.66,20.2,60.8,,,,,,,,,,400.73
AS90-001,M,BAEA-AS90-2024-M-001,6/12/24,2024,ASHLAND,AS-90a,0709-05691,3.91,43.8,32.8,30.8,204,136,0,-4.4684,48.5,48.5,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0.232,0,43.8,9.15,1.32,1.56,2.08,0,0,2.58,0,0,131,0.115,29.3,0,149,0,0.027,2.15,22.5,61.2,,,,,,,,,,456.138
AS90-002,M,BAEA-AS90-2024-M-002,6/12/24,2024,ASHLAND,AS-90a,0829-04156,4.01,42,31.7,29.7,180,136,4-Mar,-5.2736,45.1,45.1,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0.124,0,36.1,9.01,0.911,0.844,1.4,0,0,2.23,0,0,119,0.108,10.2,0,149,0,0,1.95,21.6,52.8,,,,,,,,,,405.399
AS99-001,M,BAEA-AS99-2024-M-001,6/12/24,2024,ASHLAND,AS-99c,0829-04157,3.92,45.4,35.2,31.5,213,137,4-Jan,-3.378,49.7,49.7,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0.137,0,18.9,5.78,0.412,0,0.964,0,0,0.898,0,0,59.7,0,0.639,0,83.5,0,0,1.21,12.7,26.5,,,,,,,,,,211.415
AS99-002,M,BAEA-AS99-2024-M-002,6/12/24,2024,ASHLAND,AS-99c,0829-04158,3.9,48.5,35.1,32.6,186,140,0,-2.9808,45.9,45.9,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,19.5,5.28,0.463,0.048,1,0,0,0.806,0,0,85.8,0.072,1.36,0,86.8,0,0,1.3,14.1,26.1,,,,,,,,,,242.71
BR09-001,F,BAEA-BR09-2023-M-001,5/19/23,2023,BROWN,BR-09,0709-05672,4.55,48.2,38.5,32.7,215,144,0,-1.7856,50,50,0.186,0,0,0,0,0,0.916,0,0,0.406,0,0.828,0,0,0.485,0,0,0,16.5,10.7,1.48,0,0.822,0,0,1.51,0,0,5.4,0.199,0.119,0,195,0,0,1.8,6.76,15.6,,,,,,,,,,258.711
BR09-002,,BAEA-BR09-2023-S-002,5/19/23,2023,BROWN,BR-09,0709-05673,3.53,44.7,36,30.5,238,140,0,-3.498,53.2,53.2,0.247,0,0,0,0,0,0.552,0,0,0.41,0,0.195,0,0,0.157,0,0.213,0,10.1,4.64,0.869,0,1.08,0,0,1.9,0,0,4.12,0.145,0.143,0,145,0,0,1.36,2.31,8.61,,,,,,,,,,182.051
BR11-001,M,BAEA-BR11-2024-S-001,5/17/24,2024,BROWN,BR-11a,0709-05696,3.23,39.7,32.5,34.2,117,145,Empty,-3.2376,36.3,36.3,0.228,0,0,0,0,0,0,0,0,0.861,0,0.886,0,0,0.347,0,0.248,0,11.7,7.32,1.43,0,0.914,0,0,0.85,0,0,4.21,0.189,0.388,0,163,0,0,1.64,4.84,11.7,,,,,,,,,,210.751
BR11-002,M,BAEA-BR11-2024-S-002,5/17/24,2024,BROWN,BR-11a,0709-05697,3.45,40.4,33.2,30.5,179,142,Empty,-4.45,45,45,0.24,0,0,0,0,0,1.15,0,0,0.952,0,1.22,0,0,0.492,0,0.234,0,13.6,8.08,1.61,0,1.4,0,0,1.37,0,0,4.79,0.304,0.686,0,183,0,0,1.93,5.31,14.5,,,,,,,,,,240.868
BR12-001,F,BAEA-BR12-2024-S-001,5/17/24,2024,BROWN,BR-12,0709-05695,3.99,41.7,35,31.9,142,157,4-Jan,-3.2892,39.8,39.8,0.197,0,0,0,0,0,1.53,0,0,0.315,0,1.57,0.09,0,0.497,0,0,0,7.64,3.24,1.28,0,1.09,0,0,0.62,0,0,3.16,0.099,0.248,0,108,0,0,1.07,2.32,6.75,,,,,,,,,,139.716
BR12-001,,BAEA-BR12-2023-M-001,5/18/23,2023,BROWN,BR-12,0709-05668,3.63,41.5,33.3,31.4,182,130,0.5,-4.0632,45.4,45.4,0.265,0,0,0,0,0,1.01,0,0,0.417,0,0.831,0,0,0.462,0,0,0,8.17,4.49,1.25,0,1.08,0,0,1.04,0,0,3.21,0.155,0.324,0,154,0,0,1.66,2.78,6.89,,,,,,,,,,188.034
BR15-001,M,BAEA-BR15-2024-S-001,5/16/24,2024,BROWN,BR-15,0709-05692,3.3,41.4,31.7,28.8,153,144,4-Mar,-5.6264,41.3,41.3,0,0,0,0,0,0,0.934,0,0,0.693,0,1.36,0.058,0,0.468,0,0,0,12.9,6.83,1.47,0,0.674,0,0,0.253,0,0,2.01,0.211,0.129,0,154,0,0,1.37,3.47,14.3,,,,,,,,,,201.13
BR15-003,M,BAEA-BR15-2024-S-003,5/16/24,2024,BROWN,BR-15,0709-05694,2.68,37.6,29.1,28.6,95,137,Empty,-6.5888,33.2,33.2,0.194,0,0,0,0,0,0.858,0,0,0.599,0,0.822,0,0,0.33,0,0.126,0,8.63,4.74,0.51,0,0.494,0,0,0.181,0,0,1.4,0.083,0.146,0,92.5,0,0,1.02,1.88,7.51,,,,,,,,,,122.023
BR17-001,F,BAEA-BR17-2023-M-001,5/19/23,2023,BROWN,BR-17,0709-05675,4.92,49.5,36.9,33.5,258,150,0.25,-2.016,56,56,0.262,0,0,0,0,0,0.598,0,0,0.289,0,0,0,0,0.164,0,0.224,0,9.49,5.05,0.89,0,0.906,0,0,1.36,0,0,2.92,0.154,0.108,0,151,0,0,1.3,2.34,8.13,,,,,,,,,,185.185
BR17-002,F,BAEA-BR17-2023-S-002,5/19/23,2023,BROWN,BR-17,0709-05676,4.66,50.4,37.8,33,263,140,0.25,-1.906,56.7,56.7,0.287,0,0,0,0,0,0.981,0,0,0.466,0,0.646,0,0,0.521,0,0,0,16.9,7.33,1.25,0,1.38,0,0,3.44,0,0,6.9,0.196,0.262,0,206,0,0,1.89,3.88,16.4,,,,,,,,,,268.729
BR19-001,F,BAEA-BR19-2024-S-001,5/16/24,2024,BROWN,BR-19,0709-05649,4.11,45.1,34.5,35.6,,150,Empty,-2.0088,0,0,0.187,0,0,0,0,0,1.3,0,0,0.757,0,1.56,0,0,0.675,0,0,0,13.8,8.28,0.974,0,0.912,0,0,0.7,0,0,3.45,0.112,0.153,0,149,0,0,1.81,4.44,12.4,,,,,,,,,,200.51
BY32-001,M,BAEA-BY32-2023-M-001,6/12/23,2023,BAYFIELD,BY-032d,0709-05623,3.7,44.5,34.9,31.5,233,144,0,-3.48,52.5,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6.45,0.696,0,1.08,0,0,1.16,0,0,75.4,0.114,1.92,0,125,0,0,1.65,10.6,42.4,,,,,,,,,,296.47
BY100-001,F,BAEA-BY100-2023-M-001,6/14/23,2023,BAYFIELD,BY-100a,0709-05636,4.5,49.9,40.7,32.6,255,160,1,-1.0768,55.6,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,29.6,5.85,0.679,0,0.98,0,0,0.875,0,0,75.3,0.104,1.65,0,128,0,0,1.98,11.2,36.9,,,,,,,,,,293.211
BY100-002,,BAEA-BY100-2023-S-002,6/14/23,2023,BAYFIELD,BY-100a,0709-05637,3.86,47.1,37,30.5,245,157,0.75,-3.158,54.2,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,33.3,5.98,0.708,0,1.08,0,0,1.04,0,0,82.8,0.113,1.97,0,128,0,0,1.9,11.5,43.1,,,,,,,,,,311.57
BY100-003,F,BAEA-BY100-2023-E-003,6/14/23,2023,BAYFIELD,BY-100a,0709-05638,4.39,47.4,38,33.3,217,154,0,-1.7204,50.3,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,26.5,6.23,0.503,0,0.958,0,0,0.806,0,0,60.7,0.098,0.926,0,107,0,0,1.77,12.9,36.2,,,,,,,,,,254.664
BY30-001,M,BAEA-BY30-2024-S-001,6/12/24,2024,BAYFIELD,BY-30,0829-04162,2.92,41.4,34.2,29.7,177,152,0,-4.4236,44.7,44.7,0,0,0,0,0,0,0,0,0,0.071,0,0,0.056,0,0,0,0.115,0,35.6,9.75,1.24,0.051,1.17,0,0,1.2,0,0,80.3,0.174,1.18,0,138,0,0,2.15,23.1,52.3,,,,,,,,,,346.457
BY47-001-002,F,BAEA-BY47-2024-M-002,6/10/24,2024,BAYFIELD,BY-47a,0709-05687,4.61,48.2,36.9,33.4,205,154,0,-2.0552,48.6,48.6,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0.098,0,54.7,15.6,0.922,0,1.57,0,0,1.58,0,0,145,0.133,1.98,0,179,0,0,2.51,22.6,76.1,,,,,,,,,,501.924
BY47-001,F,BAEA-BY47-2023-M-001,6/13/23,2023,BAYFIELD,BY-47b,0709-05629,4.11,46.4,37.5,33.6,228,152,0.25,-1.7728,51.8,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,27.4,5.81,0.629,0.035,1.02,0,0,0.888,0,0,74,0.09,1.72,0,120,0,0,1.82,11.1,38,,,,,,,,,,282.66
BY48-001,F,BAEA-BY48-2024-M-001,6/10/24,2024,BAYFIELD,BY-48a,0709-05688,4.93,46.7,37.2,34.6,235,142,Full,-1.4828,52.8,52.8,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0.115,0,13.9,4.33,0.7,0,0.943,0,0,0.668,0,0,29.8,0.072,0.275,0,74.5,0,0,1.12,10.4,18.6,,,,,,,,,,155.489
BY94-001,F,BAEA-BY94-2023-L-001,6/14/23,2023,BAYFIELD,BY-94,0709-05619,4.43,50,27.1,34.3,226,143,0,-5.0344,51.5,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,17,3.96,0.575,0,0.938,0,0,0.712,0,0,49.7,0.088,0.325,0,107,0,0,1.09,7.1,23.7,,,,,,,,,,212.256
BY94-002,,BAEA-BY94-2023-L-002,6/14/23,2023,BAYFIELD,BY-94,0709-05620,3.61,46.8,34.3,31.2,247,130,0,-3.8016,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,19.2,4,0.796,0,1.04,0,0,0.831,0,0,42,0.106,0.197,0,161,0,0,1.42,7.67,27.2,,,,,,,,,,265.633
BY97-001,M,BAEA-BY97-2023-S-001,6/13/23,2023,BAYFIELD,BY-97,0709-05627,4.17,56.1,35.4,37.3,235,142,1,-1.0364,52.8,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,1.81,0.751,0,0.697,0,0,0.451,0,0,14.4,0.072,0.249,0,60.2,0,0,0.719,4.05,6.74,,,,,,,,,,95.969
BY97-002,F,BAEA-BY97-2023-E-002,6/13/23,2023,BAYFIELD,BY-97,0709-05628,4.87,49.2,37.6,37.9,207,157,0.75,-0.0532,48.9,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,4.81,1.52,0.74,0,0.483,0,0,0.327,0,0,9.72,0.064,0.198,0,42.5,0,0,0.649,3.26,5.66,,,,,,,,,,70.043
BY100-002,M,BAEA-BY100-2024-M-002,6/10/24,2024,BAYFIELD,BY100a,0709-05690,4.01,46.5,35.3,31.1,240,130,4-Jan,-3.5008,53.5,53.5,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0.066,0,15.4,5.53,0.358,0,1.2,0,0,0.992,0,0,54.3,0.018,0.927,0,96.9,0,0,1.27,9.75,24,,,,,,,,,,210.787
DO05-001,M,BAEA-DO05-2024-L-001,5/14/24,2024,DOOR,DO-05,0709-05635,3.36,41.4,32.7,27.6,155,134,Full,-5.7568,41.6,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,11.2,0.971,0,1.7,0,0,1.05,0,0,23.2,0.118,0.481,0,256,0,0,2.22,17.9,24.3,,,,,,,,,,368.44
DO05-002,F,BAEA-DO05-2024-L-002,5/14/24,2024,DOOR,DO-05,0709-05679,4.23,48.3,36.4,31.1,195,143,4-Jan,-3.1268,47.2,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,6.84,0.901,0,1.92,0,0,1.46,0,0,27.3,0.096,0.66,0,244,0,0,1.62,10.8,26.3,,,,,,,,,,350.197
DO16-001,F,BAEA-DO16-2024-L-001,5/16/24,2024,DOOR,DO-16a,0709-05684,3.72,38.3,31.1,30.7,100,145,4-Mar,-5.0856,33.9,33.9,0,0,0,0,0,0,0.16,0,0,0.677,0,0,0,0,0,0,0,0,12.6,5.14,0.654,0,1.14,0,0,2.27,0,0,7.37,0.088,0.178,0,187,0,0,1.14,5.58,14.4,,,,,,,,,,238.397
DO16-002,F,BAEA-DO16-2024-L-002,5/16/24,2024,DOOR,DO-16a,0709-05685,3.99,41.6,31.7,31.9,129,145,2-Jan,-4.4112,38,38,0,0,0,0,0,0,0.192,0,0,0.656,0,0,0,0,0,0,0,0,14.6,5.33,1.11,0,1.37,0,0,2.45,0,0,7.82,0.126,0.189,0,195,0,0,1.32,6.49,18.4,,,,,,,,,,255.053
DO16-003,M,BAEA-DO16-2024-L-003,5/16/24,2024,DOOR,DO-16a,0709-05686,3,35.5,28,27,80,133,4-Jan,-7.59,31.1,31.1,0,0,0,0,0,0,0.139,0,0,0.759,0,0,0,0,0,0,0,0,12.4,4.88,0.904,0,1.01,0,0,2.16,0,0,6.27,0.101,0.093,0,154,0,0,0.94,7.06,13.7,,,,,,,,,,204.416
DO18-001,M,BAEA-DO18-2024-L-001,5/15/24,2024,DOOR,DO-18,0709-05682,3.91,43.8,32.7,31.4,226,136,Empty,-4.2672,51.5,51.5,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,21.4,6.31,1.16,0,1.44,0,0,1.04,0,0,17.1,0.104,1.27,0,236,0,0,1.37,11.7,14.5,,,,,,,,,,313.508
DO18-002,M,BAEA-DO18-2024-L-002,5/15/24,2024,DOOR,DO-18,0709-05683,2.92,40.5,31.4,27.8,189,130,Empty,-6.1204,46.4,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,3.57,0.673,0,0.888,0,0,0.712,0,0,10.3,0.059,0.484,0,148,0,0,0.891,6.58,9.59,,,,,,,,,,194.247
DO29-001,F,BAEA-DO29-2024-L-001,5/15/24,2024,DOOR,DO-29a,0709-05680,3.56,37.7,30.5,29.5,87,135,Empty,-5.76,32.1,32.1,0,0,0,0,0,0,0.589,0,0,0.95,0,0.958,0,0,0.384,0,0,0,10.4,5.93,0.77,0,0.888,0,0,0.728,0,0,3.06,0.107,0.116,0,136,0,0,1.48,5.02,9.24,,,,,,,,,,176.62
DO29-002,F,BAEA-DO29-2024-L-002,5/15/24,2024,DOOR,DO-29a,0709-05681,4.04,43.5,31.9,31.8,130,139,Empty,-4.3824,38.1,38.1,0,0,0,0,0,0,0.609,0,0,0.884,0,0.696,0,0,0.349,0,0,0,11.5,6.49,0.975,0,1.06,0,0,1,0,0,3.55,0.115,0.172,0,135,0,0,1.55,5.54,9.53,,,,,,,,,,179.02
DU58-002,M,BAEA-DU58-2024-S-002,6/10/24,2024,DOUGLAS,DU-58a,0829-04161,4.03,48.8,34.4,33.1,282,150,0,-3.0228,59.4,59.4,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,37.6,10,2.16,0,1.6,0,0,1.33,0,0,92.9,0.176,0.383,0,153,0,0.015,2.47,22.2,55.9,,,,,,,,,,379.846
DU58-001,F,BAEA-DU58-2023-S-001,6/12/23,2023,DOUGLAS,DU-58a,0709-05624,4.81,47.5,36.5,32.9,220,164,0.5,-2.3872,50.7,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,32.4,6.88,0.933,0,0.897,0,0,0.926,0,0,71.4,0.108,0.668,0,123,0,0,2.15,12.1,40.9,,,,,,,,,,292.439
DU58-002,F,BAEA-DU58-2023-M-002,6/12/23,2023,DOUGLAS,DU-58a,0709-05625,5.53,49.5,36.4,35.2,304,162,0.5,-1.5196,62.5,62.5,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0.102,0,47.8,8.92,1.35,0,1.63,0,0,1.25,0,0,120,0.171,0.799,0,183,0,0,2.88,17.5,62.9,,,,,,,,,,448.438
DU81-001,F,BAEA-DU81-2024-S-001,6/10/24,2024,DOUGLAS,DU-81,0829-04152,5.06,51.7,39.5,34.2,307,151,0,-0.8576,62.9,62.9,0,0,0,0,0,0,0.116,0,0,0.065,0,0,0,0,0,0,0.853,0,13.1,4.02,2.42,0.056,2.53,0,0,6.37,0,0,29.6,0.164,0.364,0,155,0,0,1.7,6.2,15,,,,,,,,,,237.558
KE02-001,F,BAEA-KE02-2024-L-001,5/14/24,2024,KEWAUNEE,KE-02,0709-05634,4.38,43.7,35.3,32.1,162,142,Full,-3.1088,42.6,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,8.25,2.43,0.224,0,1.14,0,0,0.778,0,0,8.29,0,0.656,0,116,0,0,0.627,2.33,5.08,,,,,,,,,,145.928
KE08-001,M,BAEA-KE08-2024-S-001,5/14/24,2024,KEWAUNEE,KE-08,0709-05644,2.82,38.1,27.6,27.9,92,143,Full,-7.3732,32.8,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0,8.6,2.37,0.804,0,1.87,0,0,0.88,0,0,7.79,0.087,0.553,0,168,0,0,0.738,5.18,6.22,,,,,,,,,,203.308
KE08-002,F,BAEA-KE08-2024-S-002,5/14/24,2024,KEWAUNEE,KE-08,0709-05646,2.7,36.9,26.9,26.7,74,139,Full,-8.0816,30.3,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,8.92,2.45,0.412,0,1.74,0,0,0.882,0,0,8.25,0,0.442,0,180,0,0,0.746,2.81,6.05,,,,,,,,,,212.902
MC03-002,F,BAEA-MC03-2024-S-002,5/13/24,2024,MANITOWOC,MC-03b,0709-05642,4.94,47.6,37.1,35,207,147,Full,-1.36,48.9,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,3.69,1.15,0,1.39,0,0,1.44,0,0,8.73,0.073,0.243,0,179,0,0,1.17,7.96,8.95,,,,,,,,,,225.696
MC06-001,F,BAEA-MC06-2024-L-001,5/13/24,2024,MANITOWOC,MC-06,0709-05632,5.18,48.3,37.7,33.9,240,145,4-Jan,-1.5872,53.5,53.5,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,21.8,5.27,0.721,0,2.19,0,0,1.44,0,0,12.9,0.094,0.539,0,235,0,0,1.71,7.25,15.1,,,,,,,,,,304.229
MC06-002,U,BAEA-MC06-2024-L-002,5/13/24,2024,MANITOWOC,MC-06,0709-05633,4.09,42.3,35.2,30.4,220,134,4-Jan,-3.8092,50.7,50.7,0,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,21.4,5.3,1.03,0,2.15,0,0,1.95,0,0,16.9,0.102,0.714,0,200,0,0,1.64,8.63,17.5,,,,,,,,,,277.513
