year,nest_no,n_birds,FTSA8_2_mean,FTSA8_2_sd,FTSA8_2_cv,FTSA8_2_range,FOSA_mean,FOSA_sd,FOSA_cv,FOSA_range,N_ETFOSAA_mean,N_ETFOSAA_sd,N_ETFOSAA_cv,N_ETFOSAA_range,N_MEFOSAA_mean,N_MEFOSAA_sd,N_MEFOSAA_cv,N_MEFOSAA_range,PFBA_mean,PFBA_sd,PFBA_cv,PFBA_range,PFBS_mean,PFBS_sd,PFBS_cv,PFBS_range,PFHPA_mean,PFHPA_sd,PFHPA_cv,PFHPA_range,PFHPS_mean,PFHPS_sd,PFHPS_cv,PFHPS_range,PFDS_mean,PFDS_sd,PFDS_cv,PFDS_range,PFHXS_mean,PFHXS_sd,PFHXS_cv,PFHXS_range,PFNS_mean,PFNS_sd,PFNS_cv,PFNS_range,PFHXA_mean,PFHXA_sd,PFHXA_cv,PFHXA_range,PFDA_mean,PFDA_sd,PFDA_cv,PFDA_range,PFDOA_mean,PFDOA_sd,PFDOA_cv,PFDOA_range,PFNA_mean,PFNA_sd,PFNA_cv,PFNA_range,PFOA_mean,PFOA_sd,PFOA_cv,PFOA_range,PFOS_mean,PFOS_sd,PFOS_cv,PFOS_range,PFPES_mean,PFPES_sd,PFPES_cv,PFPES_range,PFTEDA_mean,PFTEDA_sd,PFTEDA_cv,PFTEDA_range,PFTRDA_mean,PFTRDA_sd,PFTRDA_cv,PFTRDA_range,PFUNDA_mean,PFUNDA_sd,PFUNDA_cv,PFUNDA_range
2023,AS-106,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.0905,0.020506097,0.226586703,0.029,0,0,NA,0,0.072,0.002828427,0.03928371,0.004,1.1695,0.325976226,0.278731275,0.461,0.614,0.090509668,0.147409883,0.128,1.1135,0.193040151,0.173363405,0.273,0.1015,0.010606602,0.104498539,0.015,0,0,NA,0,38.45,1.626345597,0.042297675,2.3,8.515,0.827314934,0.09715971,1.17,103.95,8.555992052,0.082308726,12.1,2.82,0.098994949,0.035104592,0.14,131.5,12.02081528,0.091413044,17,0,0,NA,0,2.3,0.240416306,0.104528829,0.34,13.7,1.697056275,0.123872721,2.4,50.95,2.61629509,0.051350247,3.7
2023,AS-20f,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.2055,0.036062446,0.175486354,0.051,0,0,NA,0,0.0615,0.00212132,0.034493014,0.003,2.01,0.183847763,0.091466549,0.26,1.265,0.035355339,0.027948885,0.05,1.595,0.205060967,0.128564869,0.29,0.1445,0.003535534,0.024467363,0.005,0,0,NA,0,33.8,0.707106781,0.020920319,1,8.89,0.141421356,0.015907914,0.2,88.85,1.626345597,0.018304396,2.3,2.12,0.622253967,0.293516022,0.88,182,8.485281374,0.046622425,12,0,0,NA,0,2.535,0.148492424,0.058576893,0.21,14.45,1.343502884,0.092975978,1.9,49.3,0.141421356,0.002868587,0.2
2023,BR-09,2,0.734,0.257386868,0.350663308,0.364,0.408,0.002828427,0.006932419,0.004,0.5115,0.447598592,0.875070562,0.633,0.321,0.231931024,0.722526555,0.328,0.1065,0.150613744,1.414213562,0.213,0,0,NA,0,0,0,NA,0,0.951,0.18243355,0.191833385,0.258,1.1745,0.432042243,0.367852059,0.611,1.705,0.275771645,0.1617429,0.39,0.172,0.038183766,0.221998641,0.054,0,0,NA,0,13.3,4.5254834,0.34026191,6.4,7.67,4.285067094,0.558678891,6.06,4.76,0.90509668,0.190146361,1.28,0.131,0.016970563,0.129546281,0.024,170,35.35533906,0.207972583,50,0,0,NA,0,1.58,0.311126984,0.196915812,0.44,4.535,3.146625176,0.693853402,4.45,12.105,4.9426764,0.408316927,6.99
2023,BR-17,2,0.7895,0.270821897,0.343029635,0.383,0.3775,0.1251579,0.331544107,0.177,0.323,0.456790981,1.414213562,0.646,0.3425,0.252437121,0.737042689,0.357,0.112,0.158391919,1.414213562,0.224,0,0,NA,0,0,0,NA,0,1.143,0.335168614,0.293235883,0.474,1.07,0.254558441,0.237905085,0.36,2.4,1.470782105,0.612825877,2.08,0.175,0.029698485,0.169705627,0.042,0,0,NA,0,13.195,5.239661249,0.397094449,7.41,6.19,1.612203461,0.260452902,2.28,4.91,2.814284989,0.573174132,3.98,0.185,0.108894444,0.588618618,0.154,178.5,38.89087297,0.217876039,55,0,0,NA,0,1.595,0.417193001,0.26156301,0.59,3.11,1.088944443,0.350142908,1.54,12.265,5.84777308,0.476785412,8.27
2023,BY-100a,3,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.081666667,0.010263203,0.125671872,0.02,0,0,NA,0,0,0,NA,0,1.006,0.065023073,0.064635261,0.122,0.63,0.110936919,0.176090348,0.205,0.907,0.120237265,0.132565894,0.234,0.105,0.007549834,0.071903185,0.015,0,0,NA,0,29.8,3.404408906,0.11424191,6.8,6.02,0.193132079,0.032081741,0.38,72.93333333,11.23847558,0.154092444,22.1,1.515333333,0.534869454,0.352971483,1.044,121,12.12435565,0.100201286,21,0,0,NA,0,1.883333333,0.105987421,0.056276507,0.21,11.86666667,0.907377173,0.076464368,1.7,38.73333333,3.797806384,0.098050079,6.9
2023,BY-94,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.1205,0.074246212,0.616151137,0.105,0,0,NA,0,0,0,NA,0,0.989,0.072124892,0.07292709,0.102,0.6855,0.156270599,0.227965862,0.221,0.7715,0.084145707,0.109067669,0.119,0.097,0.012727922,0.131215691,0.018,0,0,NA,0,18.1,1.555634919,0.085946681,2.2,3.98,0.028284271,0.007106601,0.04,45.85,5.444722215,0.118750757,7.7,0.261,0.090509668,0.346780337,0.128,134,38.18376618,0.284953479,54,0,0,NA,0,1.255,0.233345238,0.18593246,0.33,7.385,0.403050865,0.054576962,0.57,25.45,2.474873734,0.097244548,3.5
2023,BY-97,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.056,0.079195959,1.414213562,0.112,0,0,NA,0,0,0,NA,0,0.59,0.151320851,0.256476019,0.214,0.7455,0.007778175,0.0104335,0.011,0.389,0.087681241,0.225401647,0.124,0.068,0.005656854,0.083189033,0.008,0,0,NA,0,5.32,0.721248917,0.135573105,1.02,1.665,0.205060967,0.12315974,0.29,12.06,3.309259736,0.274399646,4.68,0.2235,0.036062446,0.161353225,0.051,51.35,12.51579003,0.243734957,17.7,0,0,NA,0,0.684,0.049497475,0.072364729,0.07,3.655,0.558614357,0.152835665,0.79,6.2,0.763675324,0.123173439,1.08
2023,DU-58a,2,0,0,NA,0,0.068,0.096166522,1.414213562,0.136,0,0,NA,0,0,0,NA,0,0.0895,0.01767767,0.197515861,0.025,0,0,NA,0,0,0,NA,0,1.2635,0.518309271,0.410217072,0.733,1.1415,0.294863528,0.258312333,0.417,1.088,0.229102597,0.21057224,0.324,0.1395,0.044547727,0.319338546,0.063,0,0,NA,0,40.1,10.88944443,0.271557218,15.4,7.9,1.442497834,0.182594662,2.04,95.7,34.36538957,0.35909498,48.6,0.7335,0.092630988,0.126286283,0.131,153,42.42640687,0.277296777,60,0,0,NA,0,2.515,0.51618795,0.205243718,0.73,14.8,3.818376618,0.25799842,5.4,51.9,15.55634919,0.299736979,22
2023,WI-09,2,0,0,NA,0,0.0785,0.00212132,0.027023189,0.003,0.757,0.074953319,0.099013631,0.106,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.8745,0.191625938,0.219126287,0.271,0.8885,0.084145707,0.094705354,0.119,1.345,0.077781746,0.057830294,0.11,0.0865,0.009192388,0.106270383,0.013,0,0,NA,0,8.8,0.056568542,0.006428243,0.08,2.275,0.685893578,0.301491683,0.97,8.945,0.629325035,0.070354951,0.89,0.1995,0.06151829,0.308362356,0.087,118,0,0,0,0,0,NA,0,0.838,0.313955411,0.374648462,0.444,1.855,0.134350288,0.072426031,0.19,6.48,0.480832611,0.074202563,0.68
2023,WI-10a,2,0,0,NA,0,0.138,0,0,0,0.523,0.117379726,0.224435422,0.166,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.36,0.127279221,0.353553391,0.18,0.7385,0.132228968,0.179050735,0.187,0.531,0.247487373,0.466077916,0.35,0.079,0.016970563,0.21481725,0.024,0,0,NA,0,8.995,0.982878426,0.109269419,1.39,1.75,0.254558441,0.145461966,0.36,2.94,1.286934342,0.437732769,1.82,0.0155,0.02192031,1.414213562,0.031,116,9.899494937,0.085340474,14,0,0,NA,0,0.408,0.035355339,0.086655243,0.05,1.39,0.155563492,0.111916181,0.22,5.66,0.593969696,0.104941642,0.84
2024,AS-28c,3,0,0,NA,0,0.114333333,0.021962089,0.192088238,0.039,0,0,NA,0,0,0,NA,0,0.033,0.029816103,0.903518274,0.058,0,0,NA,0,0,0,NA,0,0.663333333,0.119441757,0.18006295,0.217,0.567666667,0.10010661,0.176347522,0.2,0.672666667,0.151777249,0.225635157,0.285,0.041666667,0.009712535,0.233100837,0.019,0,0,NA,0,13.4,1.276714533,0.095277204,2.5,3.92,0.639061812,0.163025973,1.22,39.6,5.75847202,0.14541596,10.6,0.842333333,0.186532392,0.22144724,0.361,78.43333333,9.047283202,0.115349977,18,0,0,NA,0,0.92,0.092325511,0.100353816,0.182,8.246666667,1.672014753,0.202750374,3.33,19.33333333,2.731910199,0.1413057,5.3
2024,AS-71a,2,0,0,NA,0,0.0895,0.003535534,0.039503172,0.005,0,0,NA,0,0,0,NA,0,0.2395,0.010606602,0.044286437,0.015,0.0465,0.065760931,1.414213562,0.093,0.2815,0.074246212,0.263752085,0.105,1.34,0.014142136,0.010553833,0.02,1.255,0.021213203,0.016902951,0.03,1.45,0.014142136,0.009753197,0.02,0.122,0.002828427,0.023183829,0.004,0,0,NA,0,60.9,0.141421356,0.00232219,0.2,18.6,0.707106781,0.038016494,1,147,2.828427125,0.019241001,4,4.185,2.283954903,0.545747886,3.23,173,2.828427125,0.01634929,4,0,0,NA,0,3.295,0.275771645,0.083693974,0.39,33.5,0.848528137,0.025329198,1.2,95.5,2.545584412,0.026655334,3.6
2024,AS-90a,2,0,0,NA,0,0.123,0.001414214,0.011497671,0.002,0,0,NA,0,0,0,NA,0,0.178,0.076367532,0.429031081,0.108,0,0,NA,0,1.202,0.506288455,0.421205038,0.716,1.74,0.480832611,0.276340581,0.68,1.1155,0.289206674,0.259261922,0.409,2.405,0.247487373,0.102905353,0.35,0.1115,0.004949747,0.044392354,0.007,0,0,NA,0,39.95,5.444722215,0.136288416,7.7,9.08,0.098994949,0.010902527,0.14,125,8.485281374,0.067882251,12,19.75,13.50573952,0.683834912,19.1,149,0,0,0,0.0135,0.019091883,1.414213562,0.027,2.05,0.141421356,0.068986027,0.2,22.05,0.636396103,0.028861501,0.9,57,5.939696962,0.10420521,8.4
2024,AS-99c,2,0,0,NA,0,0.078,0.004242641,0.054392829,0.006,0,0,NA,0,0,0,NA,0,0.0685,0.096873629,1.414213562,0.137,0,0,NA,0,0.024,0.033941125,1.414213562,0.048,0.982,0.025455844,0.025922448,0.036,0.4375,0.036062446,0.082428448,0.051,0.852,0.065053824,0.076354253,0.092,0.036,0.050911688,1.414213562,0.072,0,0,NA,0,19.2,0.424264069,0.022097087,0.6,5.53,0.353553391,0.063933705,0.5,72.75,18.45548699,0.25368367,26.1,0.9995,0.509823989,0.510079029,0.721,85.15,2.333452378,0.027404021,3.3,0,0,NA,0,1.255,0.06363961,0.050708853,0.09,13.4,0.989949494,0.073876828,1.4,26.3,0.282842712,0.010754476,0.4
2024,BR-11a,2,0.575,0.813172798,1.414213562,1.15,0.9065,0.064346717,0.070983692,0.091,1.053,0.236173665,0.224286481,0.334,0.4195,0.102530483,0.244411164,0.145,0.241,0.009899495,0.041076742,0.014,0,0,NA,0,0,0,NA,0,1.157,0.343653896,0.297021517,0.486,1.52,0.127279221,0.083736329,0.18,1.11,0.367695526,0.331257231,0.52,0.2465,0.08131728,0.329887545,0.115,0,0,NA,0,12.65,1.343502884,0.106205762,1.9,7.7,0.537401154,0.069792358,0.76,4.5,0.410121933,0.091138207,0.58,0.537,0.210717821,0.392398177,0.298,173,14.14213562,0.081746449,20,0,0,NA,0,1.785,0.205060967,0.114880093,0.29,5.075,0.332340187,0.065485751,0.47,13.1,1.979898987,0.151137327,2.8
2024,BR-15,2,0.896,0.053740115,0.059977807,0.076,0.646,0.066468037,0.102891699,0.094,1.091,0.380423448,0.348692437,0.538,0.399,0.097580736,0.244563248,0.138,0.063,0.089095454,1.414213562,0.126,0,0,NA,0,0,0,NA,0,0.584,0.127279221,0.217943871,0.18,0.99,0.67882251,0.685679303,0.96,0.217,0.050911688,0.234616075,0.072,0.147,0.090509668,0.615712027,0.128,0,0,NA,0,10.765,3.019345956,0.280478027,4.27,5.785,1.477853173,0.255462951,2.09,1.705,0.431335137,0.252982485,0.61,0.1375,0.012020815,0.087424111,0.017,123.25,43.48706704,0.352836244,61.5,0,0,NA,0,1.195,0.247487373,0.207102405,0.35,2.675,1.124299782,0.420298984,1.59,10.905,4.801255044,0.440280151,6.79
2024,DO-05,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1.81,0.155563492,0.085946681,0.22,0.936,0.049497475,0.052881917,0.07,1.255,0.28991378,0.231006996,0.41,0.107,0.015556349,0.145386441,0.022,0,0,NA,0,28.8,0.707106781,0.024552319,1,9.02,3.082985566,0.341794409,4.36,25.25,2.899137803,0.114817339,4.1,0.5705,0.126572114,0.221861725,0.179,250,8.485281374,0.033941125,12,0,0,NA,0,1.92,0.424264069,0.220970869,0.6,14.35,5.020458146,0.349857711,7.1,25.3,1.414213562,0.055897769,2
2024,DO-16a,3,0.163666667,0.026689573,0.16307275,0.053,0.697333333,0.054427322,0.078050652,0.103,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1.173333333,0.182300119,0.155369419,0.36,0.889333333,0.228353527,0.256769333,0.456,2.293333333,0.146401275,0.063837765,0.29,0.105,0.019313208,0.183935313,0.038,0,0,NA,0,13.2,1.216552506,0.092163069,2.2,5.116666667,0.225905585,0.044150929,0.45,7.153333333,0.797391581,0.11147133,1.55,0.153333333,0.052538874,0.342644834,0.096,178.6666667,21.73323108,0.121641219,41,0,0,NA,0,1.133333333,0.190087699,0.16772444,0.38,6.376666667,0.746480632,0.117064396,1.48,15.5,2.535744467,0.163596417,4.7
2024,DO-18,2,0,0,NA,0,0.057,0.080610173,1.414213562,0.114,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1.164,0.390322943,0.335328989,0.552,0.9165,0.344361002,0.375734864,0.487,0.876,0.231931024,0.264761443,0.328,0.0815,0.031819805,0.390427057,0.045,0,0,NA,0,16.95,6.293250353,0.371283207,8.9,4.94,1.93747258,0.392200927,2.74,13.7,4.808326112,0.350972709,6.8,0.877,0.55578593,0.633735382,0.786,192,62.22539674,0.324090608,88,0,0,NA,0,1.1305,0.338704148,0.299605615,0.479,9.14,3.62038672,0.39610358,5.12,12.045,3.471894296,0.288243611,4.91
2024,DO-29a,2,0.599,0.014142136,0.023609575,0.02,0.917,0.046669048,0.050893182,0.066,0.827,0.185261977,0.2240169,0.262,0.3665,0.024748737,0.067527251,0.035,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.974,0.121622366,0.124868959,0.172,0.8725,0.14495689,0.166139702,0.205,0.864,0.192333044,0.22260769,0.272,0.111,0.005656854,0.050962651,0.008,0,0,NA,0,10.95,0.777817459,0.071033558,1.1,6.21,0.395979797,0.063764863,0.56,3.305,0.346482323,0.104835801,0.49,0.144,0.03959798,0.27498597,0.056,135.5,0.707106781,0.0052185,1,0,0,NA,0,1.515,0.049497475,0.0326716,0.07,5.28,0.367695526,0.069639304,0.52,9.385,0.205060967,0.021849863,0.29
