"region","PFAS","rho","p_value","p_adj","n","signif"
"AIS","6:2 FTS",NA,NA,NA,15,NA
"AIS","8:2 FTS",NA,NA,NA,15,NA
"AIS","FOSA",0.0447446701377398,0.874189548382436,0.888248953537116,15,"ns"
"AIS","NEtFOSAA",NA,NA,NA,15,NA
"AIS","NMeFOSAA",NA,NA,NA,15,NA
"AIS","PFBA",0.149595034325116,0.594638937143157,0.888248953537116,15,"ns"
"AIS","PFBS",0.0625325775367444,0.82478701378281,0.888248953537116,15,"ns"
"AIS","PFHPA",-0.125003379246023,0.657126922980807,0.888248953537116,15,"ns"
"AIS","PFHxA",NA,NA,NA,15,NA
"AIS","PFOA",-0.0649857608531289,0.818017353732613,0.888248953537116,15,"ns"
"AIS","PFNA",-0.11011476144558,0.696044169430218,0.888248953537116,15,"ns"
"AIS","PFDA",-0.127377562454878,0.650992993325834,0.888248953537116,15,"ns"
"AIS","PFDoA",-0.068596080900525,0.808076314998549,0.888248953537116,15,"ns"
"AIS","PFTriA",-0.129971521706258,0.644314933231123,0.888248953537116,15,"ns"
"AIS","PFTeA",0.129971521706258,0.644314933231122,0.888248953537116,15,"ns"
"AIS","PFUnA",-0.088531922840979,0.753708915375213,0.888248953537116,15,"ns"
"AIS","PFHxS",0.0397135205213566,0.888248953537116,0.888248953537116,15,"ns"
"AIS","PFOS",0.354127691363916,0.195319500791171,0.888248953537116,15,"ns"
"AIS","PFPeS",-0.218864021378605,0.433220734294318,0.888248953537116,15,"ns"
"AIS","PFHPS",0.117440305809462,0.676801066328734,0.888248953537116,15,"ns"
"AIS","PFDS",0.438142679366069,0.102355977054544,0.888248953537116,15,"ns"
"FRGB","6:2 FTS",NA,NA,NA,17,NA
"FRGB","8:2 FTS",0.531528964641608,0.0281046341499059,0.449674146398495,17,"ns"
"FRGB","FOSA",-0.0123229173805963,0.962561068842158,0.962561068842158,17,"ns"
"FRGB","NEtFOSAA",0.0240149422268327,0.927105991673223,0.962561068842158,17,"ns"
"FRGB","NMeFOSAA",0.369868675987297,0.14394321326352,0.962561068842158,17,"ns"
"FRGB","PFBA",-0.230421283798776,0.373602770902135,0.962561068842158,17,"ns"
"FRGB","PFBS",NA,NA,NA,17,NA
"FRGB","PFHPA",NA,NA,NA,17,NA
"FRGB","PFHxA",NA,NA,NA,17,NA
"FRGB","PFOA",0.145232116716068,0.578102038604138,0.962561068842158,17,"ns"
"FRGB","PFNA",-0.240002226776553,0.353489165027208,0.962561068842158,17,"ns"
"FRGB","PFDA",-0.0381542001542212,0.884408352161607,0.962561068842158,17,"ns"
"FRGB","PFDoA",0.171078510368927,0.511493621170318,0.962561068842158,17,"ns"
"FRGB","PFTriA",0.118154942413072,0.651524146954848,0.962561068842158,17,"ns"
"FRGB","PFTeA",0.226463639625055,0.382092393699051,0.962561068842158,17,"ns"
"FRGB","PFUnA",0.144001336065932,0.581362421720464,0.962561068842158,17,"ns"
"FRGB","PFHxS",0.0984624520108934,0.706943626389287,0.962561068842158,17,"ns"
"FRGB","PFOS",0.0425402033393126,0.871219162383976,0.962561068842158,17,"ns"
"FRGB","PFPeS",NA,NA,NA,17,NA
"FRGB","PFHPS",0.280790093729121,0.274967359198001,0.962561068842158,17,"ns"
"FRGB","PFDS",0.0541875619477251,0.836358281801758,0.962561068842158,17,"ns"
"GBLM","6:2 FTS",NA,NA,NA,19,NA
"GBLM","8:2 FTS",-0.0727437133116519,0.767269684142962,0.876879639020528,19,"ns"
"GBLM","FOSA",-0.370125914585915,0.118804896178788,0.262223352990957,19,"ns"
"GBLM","NEtFOSAA",0.34540972365979,0.147500636057414,0.262223352990957,19,"ns"
"GBLM","NMeFOSAA",0.34540972365979,0.147500636057414,0.262223352990957,19,"ns"
"GBLM","PFBA",0.252329755549793,0.297320659630082,0.432466414007392,19,"ns"
"GBLM","PFBS",NA,NA,NA,19,NA
"GBLM","PFHPA",NA,NA,NA,19,NA
"GBLM","PFHxA",NA,NA,NA,19,NA
"GBLM","PFOA",-0.0352426327194755,0.886105568197533,0.886105568197533,19,"ns"
"GBLM","PFNA",-0.0493613402677365,0.840952252118297,0.886105568197533,19,"ns"
"GBLM","PFDA",-0.362276979464994,0.127446745625149,0.262223352990957,19,"ns"
"GBLM","PFDoA",-0.215861125406787,0.374772610341485,0.461258597343366,19,"ns"
"GBLM","PFTriA",-0.322470089383201,0.178144397258008,0.285031035612812,19,"ns"
"GBLM","PFTeA",-0.370047643554493,0.118888957954411,0.262223352990957,19,"ns"
"GBLM","PFUnA",-0.454629962081234,0.0505121925129305,0.262223352990957,19,"ns"
"GBLM","PFHxS",-0.76025278537362,0.000158203768323469,0.0025312602931755,19,"p < 0.05"
"GBLM","PFOS",-0.516304569340316,0.023628112588729,0.189024900709832,19,"ns"
"GBLM","PFPeS",NA,NA,NA,19,NA
"GBLM","PFHPS",-0.383600270002788,0.10495608773995,0.262223352990957,19,"ns"
"GBLM","PFDS",-0.231720310130551,0.33980349436105,0.453071325814734,19,"ns"
"LWR","6:2 FTS",NA,NA,NA,21,NA
"LWR","8:2 FTS",0.771045220290111,4.2892422021401e-05,0.000729171174363817,21,"p < 0.05"
"LWR","FOSA",0.40443996326554,0.0689895685589617,0.0977352221251958,21,"ns"
"LWR","NEtFOSAA",0.454016474891639,0.0386939863923361,0.0730886409633016,21,"ns"
"LWR","NMeFOSAA",-0.164588525001868,0.475882938226949,0.577857853561295,21,"ns"
"LWR","PFBA",0.0732506315135029,0.752347006486495,0.852659940684694,21,"ns"
"LWR","PFBS",NA,NA,NA,21,NA
"LWR","PFHPA",NA,NA,NA,21,NA
"LWR","PFHxA",0.444196460721,0.0436627528993289,0.074226679928859,21,"ns"
"LWR","PFOA",0.0274699305581997,0.905911898930026,0.961949087399859,21,"ns"
"LWR","PFNA",-0.0110894828637326,0.961949087399859,0.961949087399859,21,"ns"
"LWR","PFDA",0.608616912462499,0.00341402956676828,0.0116077005270122,21,"p < 0.05"
"LWR","PFDoA",0.512073179295886,0.0176365614537046,0.0374776930891222,21,"p < 0.05"
"LWR","PFTriA",0.529033564852183,0.0136655399423674,0.033187739860035,21,"p < 0.05"
"LWR","PFTeA",0.405092285786937,0.0685003004356416,0.0977352221251958,21,"ns"
"LWR","PFUnA",0.623620330454608,0.0025219479289889,0.0107182786982028,21,"p < 0.05"
"LWR","PFHxS",0.538818402673123,0.011726584192206,0.033187739860035,21,"p < 0.05"
"LWR","PFOS",0.729948901442161,0.000172559374542301,0.00146675468360956,21,"p < 0.05"
"LWR","PFPeS",NA,NA,NA,21,NA
"LWR","PFHPS",0.654492020877134,0.00128581895424262,0.00728630740737487,21,"p < 0.05"
"LWR","PFDS",0.352906484075254,0.116607644967048,0.152486920341524,21,"ns"
"MWR","6:2 FTS",0.0322449375479077,0.883877988745266,0.92807188818253,23,"ns"
"MWR","8:2 FTS",-0.430237672851871,0.0404420201288026,0.283094140901618,23,"ns"
"MWR","FOSA",-0.292938323335778,0.174934432130922,0.612270512458228,23,"ns"
"MWR","NEtFOSAA",-0.0470998613420481,0.831011646987567,0.92807188818253,23,"ns"
"MWR","NMeFOSAA",0.214695954411753,0.325233066457421,0.785419888860132,23,"ns"
"MWR","PFBA",0.545862603553632,0.007051874972924,0.148089374431404,23,"ns"
"MWR","PFBS",-0.209817461969585,0.3366085237972,0.785419888860132,23,"ns"
"MWR","PFHPA",0.442947975269123,0.0342799582745823,0.283094140901618,23,"ns"
"MWR","PFHxA",-0.147080786195818,0.503052096888247,0.807229825732047,23,"ns"
"MWR","PFOA",0.084448258780488,0.701645796270115,0.920910107604526,23,"ns"
"MWR","PFNA",-0.0183396243035936,0.933807389243083,0.933807389243083,23,"ns"
"MWR","PFDA",0.151673649645936,0.489659751866404,0.807229825732047,23,"ns"
"MWR","PFDoA",-0.396532417374996,0.0610286603892021,0.320400467043311,23,"ns"
"MWR","PFTriA",-0.153656311732811,0.483933996569517,0.807229825732047,23,"ns"
"MWR","PFTeA",-0.135316687429217,0.538153217154698,0.807229825732047,23,"ns"
"MWR","PFUnA",-0.222058153729998,0.308511122768602,0.785419888860132,23,"ns"
"MWR","PFHxS",0.155677436435822,0.478132000846079,0.807229825732047,23,"ns"
"MWR","PFOS",0.0406445727809371,0.853911589503663,0.92807188818253,23,"ns"
"MWR","PFPeS",0.306326906705123,0.155139509068895,0.612270512458228,23,"ns"
"MWR","PFHPS",0.0936807836048428,0.670720198479179,0.920910107604526,23,"ns"
"MWR","PFDS",-0.0679890614021911,0.763696494189672,0.92807188818253,22,"ns"
"SSS","6:2 FTS",NA,NA,NA,17,NA
"SSS","8:2 FTS",-0.155004457708634,0.5524931519259,0.62158840173619,17,"ns"
"SSS","FOSA",0.280610773756421,0.275287030944922,0.40041749955625,17,"ns"
"SSS","NEtFOSAA",NA,NA,NA,17,NA
"SSS","NMeFOSAA",NA,NA,NA,17,NA
"SSS","PFBA",-0.164288426548049,0.528637498524416,0.62158840173619,17,"ns"
"SSS","PFBS",NA,NA,NA,17,NA
"SSS","PFHPA",0.13897802571874,0.59474845525792,0.62158840173619,17,"ns"
"SSS","PFHxA",NA,NA,NA,17,NA
"SSS","PFOA",0.765567609944155,0.000341050704993947,0.00109136225598063,17,"p < 0.05"
"SSS","PFNA",0.818921592484833,5.8102018486592e-05,0.000309877431928491,17,"p < 0.05"
"SSS","PFDA",0.800309738110178,0.000114226048814254,0.000456904195257016,17,"p < 0.05"
"SSS","PFDoA",0.825125543943052,4.55997144414254e-05,0.000309877431928491,17,"p < 0.05"
"SSS","PFTriA",0.707250466236901,0.0014969552170776,0.00342161192474881,17,"p < 0.05"
"SSS","PFTeA",0.749896972710043,0.000527184778615084,0.00140582607630689,17,"p < 0.05"
"SSS","PFUnA",0.837533446859489,2.72787231557571e-05,0.000309877431928491,17,"p < 0.05"
"SSS","PFHxS",0.683675450695671,0.00247777553203199,0.00495555106406398,17,"p < 0.05"
"SSS","PFOS",0.51183323157854,0.0357040938247487,0.0621055957236779,17,"ns"
"SSS","PFPeS",0.206672610278179,0.426104452328193,0.568139269770924,17,"ns"
"SSS","PFHPS",0.504690595044093,0.0388159973272987,0.0621055957236779,17,"ns"
"SSS","PFDS",0.129042190330943,0.62158840173619,0.62158840173619,17,"ns"
"UPWR","6:2 FTS",NA,NA,NA,3,NA
"UPWR","8:2 FTS",NA,NA,NA,3,NA
"UPWR","FOSA",0,1,1,3,"ns"
"UPWR","NEtFOSAA",NA,NA,NA,3,NA
"UPWR","NMeFOSAA",NA,NA,NA,3,NA
"UPWR","PFBA",0,1,1,3,"ns"
"UPWR","PFBS",NA,NA,NA,3,NA
"UPWR","PFHPA",NA,NA,NA,3,NA
"UPWR","PFHxA",0,1,1,3,"ns"
"UPWR","PFOA",NA,NA,NA,3,NA
"UPWR","PFNA",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFDA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFDoA",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFTriA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFTeA",-0.5,0.666666666666667,0.888888888888889,3,"ns"
"UPWR","PFUnA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFHxS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFOS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFPeS",NA,NA,NA,3,NA
"UPWR","PFHPS",NA,NA,NA,3,NA
"UPWR","PFDS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
